
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-04-09 09:13:28 /api/v1/translations/en-US ....................... ~ 1s
  2026-04-09 09:13:28 /api/v1/translations/en .......................... ~ 1s
  2026-04-09 09:13:29 /api/v1/translations/en-US ................... ~ 0.45ms
  2026-04-09 09:13:29 /api/v1/translations/en ...................... ~ 0.20ms
  2026-04-09 09:13:29 /api/v1/app/settings ......................... ~ 0.18ms
  2026-04-09 09:13:29 /api/v1/app/settings ......................... ~ 0.02ms
  2026-04-09 09:14:23 /api/v1/translations/en-US ................... ~ 0.16ms
  2026-04-09 09:14:23 /api/v1/translations/en ...................... ~ 0.44ms
  2026-04-09 09:14:23 /api/v1/app/settings ......................... ~ 0.03ms
  2026-04-09 09:14:23 /api/v1/translations/en ...................... ~ 0.04ms
  2026-04-09 09:14:23 /api/v1/translations/en-US ................... ~ 0.22ms
  2026-04-09 09:14:23 /api/v1/app/settings ......................... ~ 0.19ms
  2026-04-09 09:14:23 /api/v1/app/settings ......................... ~ 0.03ms
